Id,CreationDate,Score,Tags,ViewCount,AnswerCount,FavoriteCount
"55523","2019-07-11 18:04:19","1","<machine-learning><discriminant-analysis>","337","1","1"
"55525","2019-07-11 18:22:35","0","<lightgbm>","37","1",""
"55526","2019-07-11 18:23:23","1","<machine-learning><scikit-learn><clustering><feature-selection><machine-learning-model>","40","1","1"
"55527","2019-07-11 20:28:22","1","<neural-network><keras><batch-normalization><keras-rl>","1574","2",""
"55529","2019-07-11 20:29:40","5","<machine-learning><deep-learning><image-recognition><convolutional-neural-network>","133","1","1"
"55536","2019-07-12 03:20:03","1","<python><deep-learning><keras><tensorflow><object-detection>","1197","1",""
"55537","2019-07-12 03:23:53","2","<regression>","78","3","1"
"55538","2019-07-12 05:20:30","1","<python><time-series><pandas>","4903","1",""
"55543","2019-07-12 06:19:51","1","<machine-learning>","690","3",""
"55544","2019-07-12 06:45:44","0","<python><aggregation>","29","1","1"
"55545","2019-07-12 06:52:03","17","<neural-network><keras><tensorflow><cnn><convolution>","20093","2","10"
"55554","2019-07-12 08:36:22","3","<data-science-model><class-imbalance><smote><weka>","134","2",""
"55555","2019-07-12 08:45:36","4","<machine-learning><classification><feature-selection>","54","1","1"
"55556","2019-07-12 08:48:02","1","<machine-learning><scikit-learn><logistic-regression>","3176","1","0"
"55558","2019-07-12 09:05:31","0","<python><pandas>","228","3",""
"55563","2019-07-12 10:05:43","0","<deep-learning><keras><image-classification><object-detection>","1155","1","1"
"55566","2019-07-12 10:23:18","6","<time-series><labels><audio-recognition>","3609","3","1"
"55580","2019-07-12 16:49:49","0","<machine-learning><beginner>","547","1",""
"55581","2019-07-12 17:16:32","1","<r><clustering>","56","0",""
"55587","2019-07-12 20:43:11","1","<regression><xgboost><cost-function>","63","2",""
"55592","2019-07-12 21:47:57","4","<machine-learning><svm><optimization><linear-algebra>","1111","1","2"
"55597","2019-07-13 03:23:16","0","<data><logistic-regression>","206","2",""
"55598","2019-07-13 03:29:45","0","<machine-learning><python><pandas><data-science-model><dataframe>","856","1",""
"55605","2019-07-13 05:19:34","0","<reinforcement-learning><policy-gradients>","67","0",""
"55609","2019-07-13 08:32:56","0","<neural-network><activation-function><deep-learning>","40","1",""
"55611","2019-07-13 09:14:18","2","<machine-learning><python><scikit-learn><recommender-system><k-nn>","87","1",""
"55613","2019-07-13 13:19:06","1","<neural-network><regression><gradient-descent><activation-function><parameter>","272","1",""
